subjectURI,subjectLabel,subjectNotation,subjectGrade,predicateCURIE,predicateLabel,objectURI,objectLabel,objectNotation,objectGrade,relationshipID
http://asn.jesandco.org/resources/S113BA20,"Find, evaluate, and select appropriate sources to answer questions.",1.1.4,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11434E6,1. Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.,CCSS.Math.Content.6.SP.A.1,6,http://toolkit.asn.desire2learn.com/mapping/45
http://asn.jesandco.org/resources/S113BA38,"Use strategies to draw conclusions from information and apply knowledge to curricular areas, real-world situations, and further investigations.",2.1.3,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",asn:alignTo,Align To,http://asn.jesandco.org/resources/S11435BC,"6. (+) Use probabilities to make fair decisions (e.g., drawing by lots, using a random number generator).",CCSS.Math.Content.HSS-MD.B.6,"9, 10, 11, 12",http://toolkit.asn.desire2learn.com/mapping/453
